rank,domain,word1,tld,phrase_count,premium_likely,restricted
514,blowjob.movie,blowjob,movie,417771,1,0
515,allows.one,allows,one,417465,0,0
516,district.attorney,district,attorney,417425,0,0
517,recording.studio,recording,studio,414883,0,0
518,email.page,email,page,414017,0,0
519,among.men,among,men,413727,0,0
520,wireless.phone,wireless,phone,412976,1,0
521,personal.safety,personal,safety,412657,1,0
522,world.trade,world,trade,412452,0,0
523,competitive.market,competitive,market,412396,0,0
524,host.country,host,country,411534,0,0
525,recent.report,recent,report,411191,0,0
526,domestic.market,domestic,market,410857,0,0
527,treatment.services,treatment,services,410177,0,0
528,any.website,any,website,409246,0,0
529,popular.page,popular,page,408155,0,0
530,cards.online,cards,online,407703,0,0
531,teens.cash,teens,cash,406821,0,0
532,nice.site,nice,site,406666,0,0
533,configuration.management,configuration,management,405487,0,0
534,car.online,car,online,405110,0,0
535,during.construction,during,construction,404360,0,0
536,user.data,user,data,404355,1,0
537,illustrates.how,illustrates,how,403949,1,0
538,following.courses,following,courses,403145,1,0
539,communication.technology,communication,technology,402731,0,0
540,offers.food,offers,food,402009,1,0
541,other.healthcare,other,healthcare,401970,0,0
542,same.data,same,data,401845,1,0
543,more.recipes,more,recipes,401676,0,0
544,still.living,still,living,401287,0,0
545,older.men,older,men,401221,0,0
546,laptop.data,laptop,data,400323,1,0
547,most.fun,most,fun,400181,0,0
548,sensitive.data,sensitive,data,399906,1,0
549,implementation.services,implementation,services,398972,0,0
550,other.support,other,support,398797,0,0
551,physical.health,physical,health,398551,1,0
552,extra.cash,extra,cash,398191,0,0
553,entire.page,entire,page,397872,0,0
554,gay.bar,gay,bar,397739,0,0
555,really.help,really,help,397723,0,0
556,via.phone,via,phone,396978,1,0
557,seeing.how,seeing,how,396886,1,0
558,management.consulting,management,consulting,396749,0,0
559,about.love,about,love,396748,0,0
560,whole.country,whole,country,395674,0,0
561,through.education,through,education,395387,0,0
562,quote.online,quote,online,395273,0,0
563,first.film,first,film,395243,0,0
564,prepaid.phone,prepaid,phone,394832,1,0
565,status.bar,status,bar,393572,0,0
566,strategy.game,strategy,game,393195,1,0
567,new.style,new,style,393138,0,0
568,following.page,following,page,392347,0,0
569,foreign.direct,foreign,direct,392023,0,0
570,critical.business,critical,business,391999,0,0
